adulterant,product,category,instances
erythrosine,taro powder,other food product / mixed,1
erythrosine,training supplement,"dietetic foods, food supplements, fortified foods",1
erythrosine,vegetarian soya product imitating sausage,prepared dishes and snacks,1
erythrosine,vitamins supplement,"dietetic foods, food supplements, fortified foods",1
food additive formic acid,sour cabbage,fruits and vegetables,1
food additive formic acid,chilled white sour cabbage in salty brine,fruits and vegetables,1
food additive formic acid,chilled white sour cabbage,fruits and vegetables,1
food additive formic acid,chilled lacto-fermented gherkins,fruits and vegetables,1
food additive cellulose acetate phtalate,food supplement,"dietetic foods, food supplements, fortified foods",1
folic acid,food supplement,"dietetic foods, food supplements, fortified foods",1
fluoride,table water,water for human consumption (other),1
fluoride,mineral water,natural mineral water,1
fluoride,bottled drinking water intended for infants,natural mineral water,1
ferrous glucomate,canned black beans,fruits and vegetables,1
fenthion,and e 231 - orthophenylphenol (0.9 mg/kg - ppm) unauthorised on kaki fruit,fruits and vegetables,1
fast green fcf / fd&c green,silver colour for cake decoration,confectionery,1
fast green fcf / fd&c green,colored tapioca pearls,cereals and bakery products,1
fast green fcf / fd&c green,carbonated soft drink,non-alcoholic beverages,1
fast green fcf / fd&c green,canned soft drink,non-alcoholic beverages,1
evodiamine,food supplement,"dietetic foods, food supplements, fortified foods",1
ethylenediaminetetraacetic acid,sparkling citrus drink,non-alcoholic beverages,1
ethylenediaminetetraacetic acid,orange soft drink,non-alcoholic beverages,1
ethylcarbamate,spirits,alcoholic beverages,1
ethylcarbamate,kirsch,alcoholic beverages,1
ethyl-p-hydroxybenzoate,soy sauce,"soups, broths, sauces and condiments",1
ethyl tertiairy buthyl ether,various non-alcoholic beverages,non-alcoholic beverages,1
ethyl maltol,frozen fish and shrimp products,fish and fish products,1
ethanol,non alcoholic beverage,non-alcoholic beverages,1
erythrosine,yogurt,milk and milk products,1
mercury,chilled dogfish (scyliorhinus canicula),fish and fish products,1
mercury,chilled fillets of swordfish (xiphias gladius),fish and fish products,1
nitrite,meat-based preparations,prepared dishes and snacks,1
mercury,smoked tuna (thunnus albacares),fish and fish products,1
mercury,swordfish fillets and slices (xiphias gladius),fish and fish products,1
mercury,swordfish carpaccio,fish and fish products,1
mercury,swordfish and dogfish (squalus),fish and fish products,1
mercury,swordfish ( xiphias gladius),fish and fish products,1
mercury,swordfish ( xiphias gladius ),fish and fish products,1
mercury,swordfish,fats and oils,1
mercury,sword fish (xiphias gladius),fish and fish products,1
mercury,sword fish,fish and fish products,1
mercury,spiny dogfish (squalus acanthias),fish and fish products,1
mercury,spearfish loins - mediterranean,fish and fish products,1
mercury,smooth-hound shark,fish and fish products,1
mercury,smoked tuna slices,fish and fish products,1
mercury,smoked swordfish slices,fish and fish products,1
mercury,swordfish loins (xiphias spp.),fish and fish products,1
mercury,smoked swordfish loins (xiphias gladius),fish and fish products,1
mercury,smoked swordfish fillet,fish and fish products,1
mercury,smoked swordfish carpaccio,fish and fish products,1
mercury,"smoked swordfish (xiphias gladius),sliced and pre-packed",fish and fish products,1
mercury,"smoked swordfish (xiphias gladius) processed in spain, with raw material",fish and fish products,1
mercury,smoked sliced blue marlin (makaira mazara),fish and fish products,1
mercury,smoked marlin fillets,fish and fish products,1
mercury,smoked marlin,fish and fish products,1
mercury,smoked blue marlin,fish and fish products,1
mercury,slices of swordfish with raw material,fish and fish products,1
mercury,slices of refrigerated swordfish and tuna,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,slices of frozen swordfish (xiphias gladius),fish and fish products,1
mercury,swordfish loaf (xiphias gladius),fish and fish products,1
mercury,swordfish steaks - frozen,fish and fish products,1
mercury,slices of fresh swordfish (xiphias gladius),fish and fish products,1
mercury,vacuum packed fillets of swordfish,fish and fish products,1
mercury,vacuum packed swordfish slices (xiphias gladius),fish and fish products,1
mercury,vacuum packed swordfish fillets,fish and fish products,1
mercury,vacuum packed swordfish filets,fish and fish products,1
mercury,vacuum packed swordfish (xiphias gladius) with raw material,fish and fish products,1
mercury,vacuum packed smoked tuna loins (thunnus thynnus),fish and fish products,1
mercury,vacuum packed slices of swordfish (xiphias gladius),fish and fish products,1
mercury,vacuum packed slices of swordfish,fish and fish products,1
mercury,vacuum packed sliced swordfish,fish and fish products,1
mercury,vacuum packed marlin (makaira mazara),fish and fish products,1
mercury,vacuum packed loins of swordfish,fish and fish products,1
mercury,vacuum packed fresh fillets of swordfish,fish and fish products,1
mercury,vacuum packed fillets of swordfish (xiphias gladius),fish and fish products,1
mercury,vacuum packed defrosted swordfish (xiphias gladius),fish and fish products,1
mercury,thawed shortfin mako (isurus oxyrhincus) fillets,fish and fish products,1
mercury,vacuum packed chilled tuna slices (thunnus albacares),fish and fish products,1
mercury,vacuum packed chilled swordfish loins,fish and fish products,1
mercury,tuna(thunnus albacares) and swordfish (xiphias gladius) - refrigerated,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,tuna slices,fish and fish products,1
mercury,tuna fish fillets,fish and fish products,1
mercury,tuna fish,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,tuna fillets in olive oil,fish and fish products,1
mercury,tuna - frozen sliced,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,tuna (thunnus alalunga),fish and fish products,1
mercury,tope shark,fish and fish products,1
mercury,tiburon martillo (sphyrnidae),fish and fish products,1
mercury,thawed swordfish fillets (xiphias gladius),fish and fish products,1
mercury,slices of frozen swordfish,fish and fish products,1
mercury,sliced frozen mako shark,fish and fish products,1
mercury,"chilled fish (epinephelus alexandrinus, trachinus draco, scorpaena scrofa, pagrus pagrus, epinephelus guaza)",fish and fish products,1
mercury,l-tryptophan,food additives and flavourings,1
mercury,marlin (malaira mazara),fish and fish products,1
mercury,marlin (makaira spp.),fish and fish products,1
mercury,marlin,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,mako shark loins (isurus glaucus),fish and fish products,1
mercury,mako shark - frozen (isurus glaucus),fish and fish products,1
mercury,mako shark (isurus spp),fish and fish products,1
mercury,mako shark (isurus sp.),fish and fish products,1
mercury,mako - frozen (isurus glaucus),fish and fish products,1
mercury,mako (isurus oxyrinchus ),fish and fish products,1
mercury,loins of swordfish,fish and fish products,1
mercury,ling (genypterus blacodes),fish and fish products,1
mercury,lantern shark (etmopterus spinax ),fish and fish products,1
mercury,kitefin shark (dalatias licha),fish and fish products,1
mercury,monkfish (lophius piscatorius),fish and fish products,1
mercury,gutted red grouper (epinephelus morio),fish and fish products,1
mercury,gulper shark (centrophorus squamosus),fish and fish products,1
mercury,grouper fillet (epinephelus malabaricus),fish and fish products,1
mercury,ground nutmeg with raw material,herbs and spices,1
mercury,greenland halibut (rheinhardtius hippoglossoides),fish and fish products,1
mercury,greater amberjack (seriola dumerili),fruits and vegetables,1
mercury,gilthead seabream (sparus aurata),fish and fish products,1
mercury,frozen yellowfin tuna slices (thunnus albacares),fish and fish products,1
mercury,frozen yellowfin tuna fillet (thunnus albacares),fish and fish products,1
mercury,frozen whole yellowfin tuna,fish and fish products,1
mercury,frozen whole snapper (pagrus auratus),fish and fish products,1
mercury,frozen whole shortfin mako (isurus oxyrinchus),fish and fish products,1
mercury,marlin loins - frozen,fish and fish products,1
mercury,monkfish tail (lophius piscatorius),fish and fish products,1
mercury,sliced frozen blue shark,fish and fish products,1
mercury,salted chicken breasts,poultry meat and poultry meat products,1
mercury,skinless frozen swordfish slices,fish and fish products,1
mercury,silver scabbard fish (lepidopus caudatus),fish and fish products,1
mercury,shortfin mako (isurus oxyrinchus),fats and oils,1
mercury,shark steaks,fish and fish products,1
mercury,shark loins,fish and fish products,1
mercury,shark - frozen mako (isurus glaucus),fish and fish products,1
mercury,shark - frozen blue (prionace glauca),fish and fish products,1
mercury,shark - canned smoked,fish and fish products,1
mercury,shark (mustulus asterias),fish and fish products,1
mercury,shark ( lamna nasus),fish and fish products,1
mercury,seabass (dicentrarchus labrax),fish and fish products,1
mercury,scorpionfish (scorpaena scrofa ),fish and fish products,1
mercury,refrigerated tuna (thunnus thynnus),wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,mora moro,fish and fish products,1
mercury,refrigerated swordfish slices,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),1
mercury,refrigerated swordfish (xiphias gladius) refrigerated swordfis(xiphias gladius),fish and fish products,1
mercury,refrigerated fillets of short-finned mako shark,fish and fish products,1
mercury,red porgy (pagrus pagrus),fish and fish products,1
mercury,pink cusk-eel tails (genypterus blacodes),fish and fish products,1
mercury,piked dogfish (squalus acanthias),fish and fish products,1
mercury,packed slices of swordfish (xiphias gladius),fish and fish products,1
mercury,packed frozen swordfish,fish and fish products,1
mercury,pacific shark steaks,fish and fish products,1
mercury,nurse shark (ginglymostoma cirratum),fish and fish products,1
mercury,mushrooms,fruits and vegetables,1
mercury,mullet,fish and fish products,1
mercury,vacuum packed tuna loins,fish and fish products,1
mercury,various food supplement,"dietetic foods, food supplements, fortified foods",1
mercury,whole chilled snapper (pagrus auratus),fish and fish products,1
nickel,migration of nickel (18.7 mg/kg - ppm),food contact materials,1
nimesulide,food supplement,"dietetic foods, food supplements, fortified foods",1
nickel,stainless steel whisks - hand-held mixers,food contact materials,1
nickel,migration of nickel (specific migration of nickel detected specific migration cr = n.r. specific migration ni = 1.1 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (89.9; 28.9 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (6.7 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (5.23; 5.09 mg/l),food contact materials,1
nickel,migration of nickel (4.9 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (38.9; 19.2; 12.1 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (34; 37 mg/dmå_),food contact materials,1
nickel,migration of nickel (3.5 mg/l),food contact materials,1
nickel,"migration of nickel (3,44 <-->-4,05 mg/dmå_)",food contact materials,1
nickel,migration of nickel (2.5 mg/l),food contact materials,1
nickel,migration of nickel (1582 mg/kg - ppm),food contact materials,1
nitrate,"baby food ""pumpkin fine","dietetic foods, food supplements, fortified foods",1
nickel,migration of nickel (145.5; 22.4 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (12; 64 mg/dmå_),food contact materials,1
nickel,migration of nickel (120.837 mg/l),food contact materials,1
nickel,migration of nickel (1.9 åµg/kg - ppb),food contact materials,1
nickel,migration of nickel (1.79; 5.54 mg/kg - ppm) and of manganese (2.09; 1.93 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (1.58; 10.2 mg/l) and of manganese (0.99; 0.55 mg/l),food contact materials,1
nickel,migration of nickel (0.655; 0.604; 0.627 mg/kg - ppm),food contact materials,1
nickel,migration of nickel (0.6 mg/l) and of cobalt (0.2 mg/l),food contact materials,1
nickel,migration of nickel (0.54 mg/kg - ppm),food contact materials,1
